,Supervised,Active site HMM,PET HMM,Homologs HMM,Blosum
DP078,0.2878370851155465,110.7,347.9,223.9,-6214.0
DP086,0.4154194038391226,132.5,415.7,269.2,-6116.0
DP094,0.32370788296457675,111.1,338.8,222.3,-6239.0
DP003,0.37646138598163154,128.8,343.6,239.3,-6113.0
DP015,0.33147423862178965,112.7,372.9,249.4,-6168.0
DP023,0.399762865768079,125.8,373.8,268.6,-6089.0
DP031,0.32333094532907497,113.7,317.8,220.8,-6146.0
DP039,0.38119692872011285,115.4,344.5,223.0,-6168.0
DP047,0.3884245066490416,83.0,324.1,221.3,-6138.0
DP055,0.34110898837717113,113.2,344.0,239.0,-6143.0
DP063,0.4076239746433265,113.6,330.4,230.8,-6182.0
DP071,0.3510711018255386,132.0,364.8,243.4,-6107.0
DP079,0.4171384964215038,107.9,321.9,233.4,-6143.0
DP087,0.2890038509156093,127.3,369.4,253.7,-6081.0
DP095,0.29281313102561146,94.1,301.6,221.9,-6129.0
DP006,0.3879230081427643,104.2,318.7,235.0,-6082.0
DP016,0.3779937088020229,99.8,356.6,260.5,-6131.0
DP024,0.3064658920698034,122.1,349.0,245.1,-6131.0
DP032,0.3763293651992191,121.8,352.3,236.0,-6149.0
DP040,0.3179642391283135,109.6,317.4,233.4,-6132.0
DP048,0.46045404416309255,132.2,394.0,258.5,-6095.0
DP056,0.37403756238633756,118.8,399.2,251.8,-6148.0
DP064,0.2890293272202022,86.9,321.5,210.8,-6240.0
DP072,0.40891221092696656,85.9,316.4,211.9,-6165.0
DP080,0.36732538667063813,90.0,310.3,209.6,-6173.0
DP088,0.4455271574937105,124.1,388.8,259.9,-6153.0
DP096,0.2915988799061072,107.8,329.9,223.5,-6231.0
DP007,0.4055186856685479,104.1,320.5,234.5,-6103.0
DP017,0.3727244276059639,111.4,353.7,239.9,-6150.0
DP025,0.4055382404910022,113.6,354.6,235.4,-6156.0
DP033,0.40042925423278364,119.3,373.4,243.4,-6156.0
DP041,0.3817886363998131,124.1,380.6,243.6,-6117.0
DP049,0.33549196446312174,104.6,333.3,223.2,-6161.0
DP057,0.4184311288444323,127.7,410.7,260.9,-6113.0
DP065,0.45485240016120554,119.5,352.1,253.4,-6105.0
DP073,0.5367777809289678,123.5,357.3,225.7,-6170.0
DP081,0.445693220669459,80.7,300.4,214.2,-6148.0
DP089,0.34182686598864526,108.7,346.7,253.5,-6109.0
DP097,0.41321001571349214,128.2,338.9,237.3,-6115.0
DP008,0.30423274104641984,97.2,349.3,239.5,-6149.0
DP018,0.3073177888699731,110.5,368.4,268.1,-6098.0
DP026,0.42091393639912805,94.3,319.8,221.4,-6143.0
DP034,0.4309338511339431,119.3,349.9,253.0,-6138.0
DP042,0.35581602013093167,74.3,304.2,214.3,-6190.0
DP050,0.3468195474396166,128.6,385.9,246.9,-6171.0
DP058,0.36006225327053665,104.2,363.6,247.6,-6167.0
DP066,0.4404965618397073,107.0,313.7,226.0,-6112.0
DP074,0.2958141243459607,109.8,298.5,200.9,-6247.0
DP082,0.39849320308011255,109.8,370.5,246.4,-6132.0
DP090,0.36682565813991946,127.5,384.8,244.7,-6142.0
DP098,0.3862084372303257,116.8,352.0,226.4,-6156.0
DP009,0.4172432038929586,94.8,325.8,225.6,-6139.0
TEP001,0.41501441510512277,73.3,167.9,173.1,-6183.0
TEP009,0.23575166781483445,101.2,345.8,238.4,-6155.0
TEP018,0.3119614608317686,131.1,405.9,269.0,-6105.0
TEP026,0.2842715552514685,69.6,205.7,181.5,-6153.0
TEP034,0.3174989639086233,75.7,215.2,158.4,-6214.0
TEP042,0.3938637711474716,126.9,408.3,264.6,-6104.0
TEP050,0.2999686839541509,60.6,177.9,158.5,-6208.0
TEP058,0.34772701575317816,80.3,275.4,197.1,-6147.0
TEP066,0.4888980638773481,129.3,393.7,242.8,-6124.0
TEP074,0.3735946100734596,84.3,258.4,211.4,-6146.0
TEP082,0.4121126876081864,80.2,309.1,224.0,-6152.0
TEP090,0.4575272056962695,126.8,304.1,214.3,-6299.0
TEP002,0.35475198743294584,101.3,355.7,256.5,-6141.0
TEP010,0.4059644509673205,81.8,308.6,222.7,-6154.0
TEP019,0.2421230210503555,72.8,171.0,165.6,-6308.0
TEP027,0.2501366842128224,101.8,212.7,177.3,-6261.0
TEP035,0.2945124244634402,73.5,159.8,170.3,-6292.0
TEP043,0.462156461498798,76.8,254.7,186.5,-6271.0
TEP051,0.23197870373052432,79.2,179.6,140.5,-6227.0
TEP059,0.3060509193001842,91.7,342.6,237.5,-6142.0
TEP067,0.26332208811628277,107.4,355.5,250.1,-6161.0
TEP075,0.3593801372833134,124.4,414.6,276.3,-6097.0
TEP083,0.4617573903816109,75.8,292.6,206.7,-6157.0
TEP091,0.38406441763486066,130.1,389.1,250.8,-6125.0
TEP003,0.4551041512859846,81.9,291.1,205.6,-6169.0
TEP011,0.39506497258418855,71.8,285.5,201.2,-6171.0
TEP020,0.20190330136732337,61.2,168.4,136.4,-6280.0
TEP028,0.4364743559374433,133.1,426.1,271.0,-6089.0
TEP036,0.32985630545381406,68.2,200.8,199.5,-6176.0
TEP044,0.3829146651976941,130.2,416.0,278.9,-6104.0
TEP052,0.3797304525225716,133.8,429.5,287.8,-6106.0
TEP060,0.37190871885021143,87.1,287.9,223.8,-6112.0
TEP068,0.354028482358464,66.7,276.5,199.5,-6156.0
TEP076,0.3714424284194989,71.5,258.6,183.7,-6175.0
TEP084,0.4821077514114391,127.9,385.2,251.7,-6110.0
TEP092,0.41742337383419187,82.0,304.0,221.7,-6147.0
TEP004,0.6419028838142555,119.6,371.9,254.5,-6107.0
TEP013,0.38968336218874805,83.8,313.0,216.0,-6151.0
TEP021,0.24771227399081436,103.5,248.0,209.6,-6156.0
TEP029,0.3766503982736744,74.8,307.4,212.0,-6139.0
TEP037,0.4840211905840367,134.1,388.8,267.0,-6110.0
TEP045,0.3134403125799902,125.5,284.2,206.6,-6305.0
TEP053,0.24115445634622995,81.3,186.6,155.1,-6296.0
TEP061,0.3917153994618342,134.1,395.4,254.1,-6120.0
TEP069,0.2959736134138572,73.5,212.6,179.8,-6172.0
TEP077,0.3433845607354067,67.2,202.0,166.7,-6258.0
TEP085,0.3381795106929843,67.6,264.4,192.2,-6155.0
TEP093,0.38294528085901103,82.8,314.3,219.3,-6120.0
TEP005,0.29885836431705387,56.0,180.8,116.1,-6265.0
TEP014,0.38942769620662016,139.0,428.1,259.7,-6107.0
TEP022,0.3148840610504456,64.9,187.7,145.6,-6243.0
TEP030,0.1477583582469186,21.9,153.0,98.2,-6736.0
TEP038,0.30062825747199967,110.0,230.3,196.9,-6236.0
TEP046,0.3901575257677116,72.8,190.4,138.8,-6599.0
TEP054,0.482635000413644,79.7,291.4,208.3,-6152.0
TEP062,0.41601547133749905,79.4,288.9,199.9,-6179.0
TEP070,0.21116283356728063,68.4,190.2,131.9,-6486.0
TEP078,0.41759806395915905,117.5,388.2,265.8,-6070.0
TEP086,0.35284110887056397,75.8,302.0,214.3,-6174.0
TEP094,0.3565205947728928,73.1,201.3,135.6,-6237.0
TEP006,0.2967860003956878,101.0,209.7,188.4,-6149.0
TEP015,0.3854907740694692,78.9,279.0,188.8,-6151.0
TEP023,0.2834423479638833,107.3,212.7,166.5,-6256.0
TEP031,0.43964576619736245,131.8,413.7,265.0,-6147.0
TEP039,0.42373630389911093,80.7,269.5,201.5,-6162.0
TEP047,0.3039303846742955,100.2,310.4,218.7,-6156.0
TEP055,0.2961061539989617,82.5,177.9,135.0,-6386.0
TEP063,0.32143722397063174,86.5,192.2,160.3,-6314.0
TEP071,0.43333819123514206,83.3,294.3,219.6,-6123.0
TEP079,0.3834061820892747,128.1,318.7,223.5,-6233.0
TEP087,0.2828364664121211,74.2,207.4,157.0,-6212.0
TEP095,0.3967532500103856,66.8,265.7,192.3,-6156.0
TEP007,0.35040722390656276,127.8,406.6,268.3,-6102.0
TEP016,0.29711534119741445,65.9,186.4,138.9,-6323.0
TEP024,0.35432108830118986,71.1,284.0,204.0,-6170.0
TEP032,0.3689559918603661,113.2,298.8,212.5,-6155.0
TEP040,0.4127563660167681,83.1,268.4,187.6,-6155.0
TEP048,0.39363177043654,99.2,233.0,196.4,-6171.0
TEP056,0.39056510060085503,101.2,320.0,223.7,-6139.0
TEP064,0.35500199936859245,101.3,342.1,236.5,-6175.0
TEP072,0.29511000441338003,58.5,195.4,143.5,-6301.0
TEP080,0.640953917109419,119.6,368.8,251.5,-6107.0
TEP088,0.2736482808544351,72.0,174.9,155.7,-6391.0
TEP096,0.5146078000501279,120.2,369.5,253.1,-6128.0
TEP008,0.3979437429534095,80.5,312.6,224.9,-6153.0
TEP017,0.28827042375550227,64.6,174.2,130.8,-6260.0
TEP025,0.4036988520858465,135.3,423.1,269.3,-6103.0
TEP033,0.34944535341137617,91.2,218.1,154.3,-6298.0
TEP041,0.37852872180304264,77.8,314.3,224.0,-6131.0
TEP049,0.41217462644603,78.8,301.2,204.7,-6157.0
TEP057,0.25615472935252753,70.5,177.8,136.7,-6274.0
TEP065,0.27609143910918826,101.2,227.7,186.0,-6198.0
TEP073,0.43663263199857905,129.8,413.4,261.5,-6135.0
TEP081,0.4261981328024049,133.9,405.2,277.9,-6104.0
TEP089,0.39831991293256147,129.0,422.7,280.8,-6088.0
TEP097,0.35221043294883353,73.2,295.9,214.3,-6180.0
TEP098,0.44899437003451553,78.9,273.1,204.6,-6153.0
TEP106,0.4021634951019168,113.0,338.4,243.0,-6119.0
TEP114,0.39800626861306376,80.6,290.2,204.1,-6165.0
TEP122,0.3569179910934405,74.4,302.6,215.9,-6175.0
TEP130,0.28071284608361474,30.2,193.2,141.1,-6332.0
TEP138,0.3411940500729895,131.1,407.2,271.0,-6080.0
TEP148,0.4105760918200462,98.9,281.2,209.8,-6178.0
TEP157,0.34074175911076,100.6,226.3,196.7,-6168.0
TEP165,0.4114814386073849,85.3,317.4,225.9,-6143.0
TEP173,0.2535721995782681,104.1,328.1,225.2,-6166.0
TEP181,0.4698272774749557,78.5,289.3,203.5,-6173.0
TEP189,0.3052394043944276,99.0,258.8,207.5,-6192.0
TEP099,0.3375332032792663,129.3,400.7,276.1,-6089.0
TEP107,0.2569744467554063,103.1,219.8,203.8,-6162.0
TEP115,0.391231736106794,78.7,312.8,224.1,-6139.0
TEP123,0.25597178607062326,83.1,191.0,158.2,-6361.0
TEP131,0.4455445098541257,72.4,297.8,198.1,-6169.0
TEP139,0.3535792945241539,72.4,192.9,141.3,-6239.0
TEP149,0.3329074420958829,101.0,345.9,251.4,-6137.0
TEP158,0.360648560667951,102.7,345.4,238.4,-6125.0
TEP166,0.4546697115810741,133.8,384.9,265.2,-6096.0
TEP174,0.3694590320847711,100.8,270.5,189.5,-6191.0
TEP182,0.32231830730083294,131.1,420.2,265.8,-6124.0
TEP100,0.2057511645520698,74.5,171.2,149.5,-6447.0
TEP108,0.4064676545175966,135.2,425.4,269.1,-6107.0
TEP116,0.3347548877779477,133.4,412.9,280.3,-6113.0
TEP124,0.3097174671735364,132.3,416.7,273.2,-6085.0
TEP132,0.4195241975710838,68.5,257.3,178.7,-6190.0
TEP140,0.3359428415518671,127.1,405.3,267.6,-6080.0
TEP150,0.408186964937665,131.7,425.5,273.9,-6093.0
TEP159,0.43528801281445023,103.3,223.6,172.5,-6218.0
TEP167,0.39828653402803266,79.4,307.6,221.4,-6156.0
TEP175,0.3557170741501028,110.6,355.6,234.6,-6151.0
TEP183,0.3664968240449574,69.5,258.5,185.5,-6166.0
TEP191,0.4282577600176882,130.0,396.2,275.5,-6111.0
TEP101,0.396128629901511,103.0,331.2,224.9,-6135.0
TEP109,0.43811690928448904,80.0,310.1,215.4,-6126.0
TEP117,0.3149856183833057,137.6,418.0,278.1,-6087.0
TEP125,0.2204811989311736,81.6,172.3,144.8,-6395.0
TEP133,0.22546974532701544,65.5,169.5,134.3,-6407.0
TEP141,0.32948215452218765,105.1,355.6,254.1,-6135.0
TEP151,0.3053937447448255,95.4,317.2,234.4,-6110.0
TEP160,0.3872853545899302,69.8,198.0,195.4,-6183.0
TEP168,0.40662538792717867,80.9,317.8,227.9,-6131.0
TEP176,0.42242753494797514,78.6,312.5,229.7,-6153.0
TEP184,0.4689351209884287,128.5,383.2,256.3,-6120.0
TEP193,0.42421822385569385,119.5,370.5,258.4,-6145.0
TEP102,0.3576770916486706,72.6,286.4,207.6,-6178.0
TEP110,0.3065767199544434,129.1,407.6,268.2,-6081.0
TEP118,0.3417634271878547,118.7,391.3,258.6,-6110.0
TEP126,0.4701690811273303,81.2,289.3,205.4,-6165.0
TEP134,0.4814109428501963,84.1,240.4,222.0,-6143.0
TEP142,0.3557186379059781,124.8,370.2,245.4,-6167.0
TEP152,0.29968456748907035,127.5,405.0,261.7,-6110.0
TEP161,0.2744744083354059,78.9,195.8,157.8,-6300.0
TEP169,0.4308342596144026,71.4,268.5,190.8,-6172.0
TEP177,0.38785860003211786,113.0,360.9,244.8,-6108.0
TEP185,0.30591431394997837,73.8,213.7,154.5,-6231.0
TEP194,0.3344876515503314,134.6,401.1,268.0,-6088.0
TEP103,0.41051751657896823,120.4,264.6,216.3,-6204.0
TEP111,0.38157889518141463,81.2,304.7,217.7,-6153.0
TEP119,0.37164739634959976,106.7,250.1,213.0,-6174.0
TEP127,0.4584705150887318,120.3,296.4,194.6,-6280.0
TEP135,0.4647953952470229,134.6,414.1,256.8,-6155.0
TEP143,0.3130506573288553,126.3,407.4,262.5,-6104.0
TEP153,0.3441814010882283,111.3,285.6,201.0,-6281.0
TEP162,0.3959841382796776,136.4,421.6,271.1,-6104.0
TEP170,0.28625225087150863,93.4,320.9,230.7,-6145.0
TEP178,0.39661599513805984,127.9,382.5,257.9,-6121.0
TEP186,0.39784985258637606,113.1,370.1,249.4,-6153.0
TEP195,0.170303815999261,65.2,170.8,136.3,-6446.0
TEP104,0.37814003762868753,116.3,334.9,225.5,-6232.0
TEP112,0.40068377723525384,57.6,175.5,139.4,-6428.0
TEP120,0.3309497043046513,132.3,273.1,195.1,-6324.0
TEP128,0.4474313372814207,134.3,384.6,262.8,-6112.0
TEP136,0.3504887141892528,65.6,169.3,152.6,-6426.0
TEP144,0.3653898309047004,132.1,412.8,269.6,-6103.0
TEP154,0.415429691072831,129.4,320.2,215.3,-6276.0
TEP163,0.42244095355909383,85.1,324.2,218.2,-6130.0
TEP171,0.3688064968175558,118.6,362.3,234.4,-6144.0
TEP179,0.35154867774072807,81.3,220.1,191.5,-6197.0
TEP187,0.2932060569372335,83.4,292.7,224.9,-6110.0
TEP196,0.3079235339755134,73.5,208.5,174.1,-6162.0
TEP105,0.4708875337487894,131.7,390.6,268.8,-6081.0
TEP113,0.21462324214392722,81.8,183.5,153.7,-6405.0
TEP121,0.39955110788429393,98.7,268.6,203.1,-6245.0
TEP129,0.4316552214077612,131.1,426.4,273.5,-6128.0
TEP137,0.2914150592918172,93.5,213.4,166.7,-6317.0
TEP145,0.2690495106831597,75.2,194.9,152.9,-6246.0
TEP155,0.24889696750314805,80.5,192.7,167.2,-6267.0
TEP164,0.4228702356030487,73.6,314.4,218.9,-6161.0
TEP172,0.34055748386666196,115.3,347.0,214.2,-6178.0
TEP180,0.492839240810086,125.9,274.7,214.0,-6195.0
TEP188,0.3592788288037803,137.1,424.6,280.2,-6084.0
TEP197,0.4760962028838272,131.4,386.1,252.4,-6120.0
ESM001,0.3725495091281583,76.4,253.0,187.6,-6232.0
ESM010,0.36472290502119314,65.6,296.5,214.9,-6179.0
ESM018,0.40207406201728163,84.1,315.7,220.0,-6143.0
ESM026,0.34620480989455155,63.1,282.8,209.1,-6183.0
ESM034,0.36906517292827035,62.9,266.6,195.1,-6191.0
ESM042,0.36738702773849113,116.0,389.6,250.5,-6137.0
ESM050,0.3189613341302496,123.5,299.1,225.5,-6174.0
ESM058,0.4073177770819766,81.2,306.1,219.4,-6148.0
ESM066,0.39577252368438104,122.4,375.5,250.7,-6136.0
ESM074,0.43725680941820333,79.0,258.0,184.4,-6170.0
ESM082,0.43882649717135674,125.2,270.1,212.8,-6185.0
ESM090,0.44913206961333,126.7,272.7,219.3,-6170.0
ESM002,0.3662766155252882,57.6,245.7,185.8,-6195.0
ESM011,0.3292248185290986,64.8,271.5,201.2,-6165.0
ESM019,0.3257648032401234,109.7,351.6,218.2,-6233.0
ESM027,0.33536567714752336,71.7,277.9,200.2,-6189.0
ESM035,0.4289511232353873,83.9,313.0,211.9,-6153.0
ESM043,0.3968335186435805,78.0,288.7,199.4,-6154.0
ESM051,0.2880964139934047,63.8,276.7,211.5,-6154.0
ESM059,0.4126853459652954,80.1,305.6,219.5,-6155.0
ESM067,0.340859287079756,58.2,263.8,197.1,-6208.0
ESM075,0.3982823738192622,80.6,306.9,225.5,-6139.0
ESM083,0.40504819421823984,114.2,335.1,217.3,-6155.0
ESM091,0.4055066143655628,80.1,307.8,219.6,-6156.0
ESM004,0.36048259484083456,58.8,266.1,201.3,-6197.0
ESM012,0.37876327397908016,79.1,302.6,213.1,-6132.0
ESM020,0.3118900882882511,98.6,262.5,202.4,-6131.0
ESM028,0.3351975405167,71.4,278.5,201.6,-6178.0
ESM036,0.36499099078832087,58.5,265.8,199.0,-6201.0
ESM044,0.346988640768862,118.4,362.7,228.6,-6201.0
ESM052,0.48151751232523526,79.5,290.8,201.3,-6168.0
ESM060,0.43805044299589135,71.2,301.9,223.7,-6129.0
ESM068,0.3727987510939326,122.1,347.7,229.0,-6119.0
ESM076,0.4471603873250471,123.9,375.4,251.7,-6139.0
ESM084,0.3967625643545165,79.9,291.0,207.2,-6163.0
ESM092,0.37477627517190737,101.9,262.6,189.9,-6145.0
ESM005,0.3273875717123378,64.8,280.3,208.0,-6151.0
ESM013,0.3670391658253508,58.6,267.8,203.4,-6204.0
ESM021,0.3443231030564355,64.8,275.3,198.8,-6195.0
ESM029,0.3291776692730534,82.9,302.0,217.8,-6170.0
ESM037,0.3290779319879094,64.6,281.2,208.2,-6145.0
ESM045,0.4421567508003674,118.6,350.6,232.0,-6172.0
ESM053,0.37305753894679683,115.5,330.8,232.4,-6167.0
ESM061,0.40927809340238963,82.2,308.8,222.2,-6147.0
ESM069,0.41257342988705664,81.7,310.4,225.7,-6135.0
ESM077,0.40973428351621105,84.0,308.1,212.8,-6163.0
ESM085,0.41159484333934804,121.0,347.0,226.4,-6106.0
ESM093,0.4034802639635346,125.3,270.7,216.7,-6172.0
ESM006,0.34510520316634563,82.3,309.9,219.1,-6160.0
ESM014,0.3080138060990413,64.8,278.3,211.7,-6159.0
ESM022,0.3915488130301083,84.8,316.2,222.1,-6179.0
ESM030,0.34245839883806184,112.1,248.3,206.8,-6216.0
ESM038,0.3786663595799911,65.6,296.7,216.0,-6192.0
ESM046,0.3169831218670612,71.9,272.0,195.0,-6207.0
ESM054,0.3782044713380197,123.3,343.5,227.4,-6132.0
ESM062,0.4126866006997324,82.6,307.8,220.9,-6148.0
ESM070,0.3730890965937306,78.8,285.4,202.2,-6200.0
ESM078,0.4442875889398016,78.3,311.8,201.8,-6149.0
ESM086,0.41685349503924596,121.1,372.4,249.2,-6124.0
ESM094,0.45621481327499164,127.1,372.5,253.6,-6118.0
ESM007,0.35690738656112325,58.8,270.1,201.6,-6201.0
ESM015,0.353798855827631,58.6,273.5,205.0,-6199.0
ESM023,0.4025285792178948,85.3,308.7,211.1,-6172.0
ESM031,0.3052829103492148,72.7,281.5,202.3,-6192.0
ESM039,0.3762912235149372,68.7,258.7,182.1,-6167.0
ESM047,0.2861222707244114,111.6,247.6,192.3,-6218.0
ESM055,0.3561108110913997,118.4,364.8,234.8,-6194.0
ESM063,0.2555755160766542,82.4,192.9,148.7,-6351.0
ESM071,0.36340909105132335,112.0,350.9,226.9,-6119.0
ESM079,0.4444467424330972,116.1,356.7,236.6,-6106.0
ESM087,0.3742289872049667,102.0,250.2,177.1,-6166.0
ESM095,0.40556316873805925,82.6,306.6,222.6,-6138.0
ESM008,0.3418877313230465,47.2,181.9,152.4,-6419.0
ESM016,0.39298322788815343,115.7,357.2,238.0,-6146.0
ESM024,0.34189226594872646,64.2,298.5,217.0,-6186.0
ESM032,0.3355330872596309,72.0,278.4,199.0,-6182.0
ESM040,0.3428637347980147,58.6,265.7,199.0,-6189.0
ESM048,0.2988049450815616,108.8,356.2,223.2,-6213.0
ESM056,0.3683232152766073,99.4,261.4,188.3,-6145.0
ESM064,0.40670851434663524,58.7,285.3,212.3,-6137.0
ESM072,0.3149387717233691,96.8,209.3,162.9,-6248.0
ESM080,0.3966969218092853,81.1,311.6,221.4,-6144.0
ESM088,0.3830328204516239,74.4,241.1,181.5,-6164.0
ESM096,0.31124216326135995,116.0,362.7,223.3,-6208.0
ESM009,0.3795051076472798,59.0,270.4,207.2,-6183.0
ESM017,0.31423057808982213,116.1,362.3,230.2,-6207.0
ESM025,0.3102584296967356,64.8,272.7,210.4,-6156.0
ESM033,0.41189476231316685,83.3,303.8,203.7,-6163.0
ESM041,0.3714997883743868,69.8,262.0,196.3,-6155.0
ESM049,0.4015207193197347,79.7,283.4,192.8,-6158.0
ESM057,0.28933174097222353,116.5,284.9,193.7,-6331.0
ESM065,0.3851792655345526,82.4,310.7,226.3,-6153.0
ESM073,0.42660714477618283,123.2,375.2,253.5,-6144.0
ESM081,0.42062938053976917,58.2,294.1,215.5,-6126.0
ESM089,0.4061965598475726,102.9,255.7,177.6,-6172.0
ESM097,0.36824423528697064,73.2,280.6,195.0,-6197.0
ESM098,0.21864988128020593,115.9,294.6,194.2,-6250.0
ESM106,0.3918125085601079,80.3,309.5,221.1,-6149.0
ESM114,0.4339672557813395,120.4,369.9,249.8,-6133.0
ESM122,0.40288216196682564,123.6,340.9,233.3,-6126.0
ESM130,0.39630844892043127,83.1,311.0,226.7,-6132.0
ESM138,0.402280374268879,100.7,254.2,188.1,-6155.0
ESM146,0.38580181186506296,70.1,265.6,192.1,-6159.0
ESM154,0.31598949638860413,118.9,298.9,212.6,-6170.0
ESM162,0.41345342777212823,120.8,315.8,215.9,-6155.0
ESM170,0.33623311780983184,76.4,258.1,198.5,-6223.0
ESM178,0.3277929631636829,122.9,272.8,214.4,-6179.0
ESM186,0.35744205494902925,115.6,359.8,228.3,-6189.0
ESM099,0.3856324137569198,109.4,248.0,203.1,-6199.0
ESM107,0.40721674207890646,84.3,253.0,189.5,-6144.0
ESM115,0.37895562720752396,116.8,368.1,243.3,-6160.0
ESM123,0.4179723608139996,119.6,349.6,233.3,-6112.0
ESM131,0.2767159929254618,72.5,213.0,179.5,-6168.0
ESM139,0.39905187206585846,64.4,276.8,210.1,-6182.0
ESM147,0.43638493230116887,125.1,270.3,217.5,-6171.0
ESM155,0.3239929895064681,73.0,216.9,174.0,-6174.0
ESM163,0.39402501829995307,81.7,312.9,215.8,-6135.0
ESM171,0.3743424290203991,108.1,236.5,161.6,-6373.0
ESM179,0.3164931421175973,109.6,317.6,208.8,-6197.0
ESM187,0.40493506172574867,121.7,326.8,237.8,-6115.0
ESM100,0.35211130099886573,111.0,246.9,199.0,-6209.0
ESM108,0.3720082352918119,92.3,215.3,142.4,-6567.0
ESM116,0.3789573053827456,119.5,350.1,225.9,-6129.0
ESM124,0.3566054124536996,121.8,339.4,229.5,-6132.0
ESM132,0.40815276906673387,83.3,304.2,217.9,-6145.0
ESM140,0.3370019180915826,131.8,410.2,261.5,-6118.0
ESM148,0.352602354613093,116.7,297.7,217.5,-6156.0
ESM156,0.33382988149623394,134.4,382.0,252.4,-6084.0
ESM164,0.3191009158351216,71.9,210.5,176.2,-6163.0
ESM172,0.3969848450039602,121.1,389.6,242.8,-6138.0
ESM180,0.43714773115308253,122.8,366.5,238.5,-6128.0
ESM188,0.4287183643681274,119.7,354.8,229.3,-6099.0
ESM101,0.41292698643911724,81.1,312.2,222.6,-6142.0
ESM109,0.3976571310712145,83.5,256.2,183.2,-6163.0
ESM117,0.385395562502865,103.4,251.5,178.9,-6160.0
ESM125,0.4123200386167433,120.2,349.2,231.3,-6105.0
ESM133,0.3493006921262286,109.7,247.9,209.1,-6177.0
ESM141,0.40779264562931056,124.6,338.9,223.8,-6135.0
ESM149,0.430349419071323,124.0,362.4,236.9,-6149.0
ESM157,0.39816220815308706,68.6,314.8,228.7,-6131.0
ESM165,0.2865753681552566,112.7,351.8,221.0,-6227.0
ESM173,0.3817651626686044,80.9,311.3,227.3,-6148.0
ESM181,0.3772926886142605,118.9,367.8,242.0,-6141.0
ESM189,0.38519360163456506,72.7,277.5,189.5,-6175.0
ESM102,0.4056367918840676,85.4,254.7,186.1,-6150.0
ESM110,0.27787543492116334,65.1,211.1,180.6,-6160.0
ESM118,0.3435835771621122,98.2,261.3,191.5,-6148.0
ESM126,0.3146325607106524,114.8,366.7,234.4,-6168.0
ESM134,0.4048024061424934,116.0,357.6,235.6,-6098.0
ESM142,0.41485823655119447,87.3,262.5,185.2,-6129.0
ESM150,0.3293130715345303,69.0,208.3,183.9,-6158.0
ESM158,0.44620565422490055,127.3,366.0,245.6,-6134.0
ESM166,0.4154606386297886,99.0,263.0,168.9,-6188.0
ESM174,0.32156622345540437,85.7,223.9,187.0,-6186.0
